"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Team1P","Team1HomeW","Team1HomeD","Team1HomeL","Team1HomeGF","Team1HomeGA","Team1AwayW","Team1AwayD","Team1AwayL","Team1AwayGF","Team1AwayGA","Team1GD","Team1Pts","Team2P","Team2HomeW","Team2HomeD","Team2HomeL","Team2HomeGF","Team2HomeGA","Team2AwayW","Team2AwayD","Team2AwayL","Team2AwayGF","Team2AwayGA","Team2GD","Team2Pts"
"86",1,"E0","17/10/98","Nott'm Forest","Leeds",1,1,"D",8,1,1,2,1,3,1,0,3,4,7,-5,7,8,2,1,1,4,1,0,4,0,4,4,3,11
"87",1,"E0","17/10/98","West Ham","Aston Villa",0,0,"D",8,2,1,1,6,5,1,2,1,1,3,-1,12,8,4,0,0,7,1,2,2,0,3,1,8,20
"88",1,"E0","18/10/98","Coventry","Sheffield Weds",1,0,"H",8,1,1,2,4,8,0,1,3,1,6,-9,5,8,2,0,2,4,2,1,0,3,4,7,-1,9
"89",1,"E0","19/10/98","Leicester","Tottenham",2,1,"H",8,1,2,1,4,3,1,1,2,3,5,-1,9,8,1,1,2,5,10,2,1,1,4,4,-5,11
"90",1,"E0","24/10/98","Aston Villa","Leicester",1,1,"D",9,4,0,0,7,1,2,3,0,3,1,8,21,9,2,2,1,6,4,1,1,2,3,5,0,12
"91",1,"E0","24/10/98","Charlton","West Ham",4,2,"H",9,1,1,1,7,3,1,3,2,6,9,1,10,9,2,2,1,6,5,1,2,1,1,3,-1,13
"92",1,"E0","24/10/98","Derby","Man United",1,1,"D",9,2,1,1,3,1,1,2,2,4,5,1,12,8,4,1,0,15,4,1,1,1,3,3,11,17
"93",1,"E0","24/10/98","Liverpool","Nott'm Forest",5,1,"H",9,1,3,0,6,4,2,1,2,7,6,3,13,9,1,2,2,2,4,1,0,3,4,7,-5,8
"94",1,"E0","24/10/98","Sheffield Weds","Everton",0,0,"D",9,2,0,2,4,2,1,0,4,4,8,-2,9,9,0,4,1,0,1,2,1,1,6,5,0,11
"95",1,"E0","24/10/98","Southampton","Coventry",2,1,"H",9,0,1,3,3,8,0,1,4,1,14,-18,2,9,2,1,2,5,8,0,1,3,1,6,-8,8
"96",1,"E0","24/10/98","Tottenham","Newcastle",2,0,"H",9,1,1,2,5,10,2,1,2,5,6,-6,11,9,3,1,1,9,5,1,1,2,6,6,4,14
"97",1,"E0","24/10/98","Wimbledon","Middlesbrough",2,2,"D",9,2,1,1,7,5,1,2,2,6,11,-3,12,9,2,3,0,9,4,2,0,2,5,5,5,15
"98",1,"E0","25/10/98","Blackburn","Arsenal",1,2,"A",9,2,1,1,7,4,0,1,4,2,8,-3,8,9,3,2,0,9,2,0,3,1,1,2,6,14
"99",1,"E0","25/10/98","Leeds","Chelsea",0,0,"D",9,2,1,1,4,1,0,5,0,5,5,3,12,8,3,2,0,7,3,1,1,1,6,6,4,15
"100",1,"E0","31/10/98","Coventry","Arsenal",0,1,"A",10,2,1,2,5,8,0,1,4,2,8,-9,8,10,3,2,0,9,2,1,3,1,3,3,7,17
"101",1,"E0","31/10/98","Derby","Leeds",2,2,"D",10,2,2,1,4,2,1,2,2,4,5,1,13,10,2,2,1,4,1,0,5,0,5,5,3,13
"102",1,"E0","31/10/98","Everton","Man United",1,4,"A",10,0,4,1,0,1,2,2,1,6,5,0,12,9,4,1,0,15,4,1,2,1,4,4,11,18
"103",1,"E0","31/10/98","Leicester","Liverpool",1,0,"H",10,2,2,1,6,4,1,2,2,4,6,0,13,10,2,3,0,11,5,2,1,2,7,6,7,16
"104",1,"E0","31/10/98","Newcastle","West Ham",0,3,"A",10,3,1,1,9,5,1,1,3,6,8,2,14,10,2,2,1,6,5,1,2,2,3,7,-3,13
